10	3	1
20	2	4
30	1	2
40	1	2
50	2	2
60	2	3
70	3	3
80	3	4
90	4	4
100	7	6
110	5	5
120	7	4
130	9	5
140	10	5
150	13	6
160	13	8
170	12	7
180	13	8
190	14	7
200	15	7
210	17	8
220	19	9
230	21	9
240	22	10
250	25	12
260	24	12
270	27	12
280	31	13
290	31	12
300	35	14
310	35	15
320	39	16
330	39	18
340	43	19
350	44	22
360	47	20
370	52	21
380	54	22
390	56	23
400	59	24
410	60	24
420	60	24
430	61	26
440	63	25
450	69	25
460	74	26
470	74	29
480	78	30
490	82	30
500	85	32
510	89	31
520	96	36
530	104	34
540	108	35
550	109	38
560	115	40
570	119	40
580	122	42
590	126	41
600	131	42
610	133	41
620	130	41
630	137	42
640	140	44
650	143	45
660	149	49
670	151	51
680	158	54
690	161	54
700	166	56
710	169	58
720	173	58
730	182	58
740	187	57
750	186	63
760	195	64
770	204	61
780	207	61
790	208	66
800	217	68
810	226	67
820	227	65
830	232	68
840	241	70
850	242	71
860	256	73
870	256	72
880	257	76
890	264	75
900	275	77
